genre	artist_id	artist_name	all_genres	popularity	follower_count	track_id	track_name	track_popularity	track_length	track_danceability	track_energy	track_key	track_loudness	track_mode	track_speechiness	track_acousticness	track_instrumentalness	track_liveness	track_valence	track_tempo	track_type	track_duration	track_time_signature
k-pop	20j1uz7iDOtIvIzCr5S8nx	SEUNGRI	k-pop; korean pop	68	238770	1MKzgKfl6WQLNDm9AkKFjK	Gotta Talk to U	46	215480	0.746	0.712	10	-5.447	0	0.0347	0.115	0	0.269	0.744	127.995	audio_features	215480	4
k-pop	20j1uz7iDOtIvIzCr5S8nx	SEUNGRI	k-pop; korean pop	68	238770	1NwrPeOW1AlJekfKz4KydQ	MOLLADO	50	197585	0.89	0.805	7	-3.898	1	0.0487	0.209	0	0.0928	0.946	125	audio_features	197585	4
k-pop	1gBUSTR3TyDdTVFIaQnc02	NCT DREAM	k-pop	65	676416	1oacrRLAurXf6ylXFhF2YT	Chewing Gum	55	197462	0.774	0.8	3	-3.426	0	0.0472	0.113	0	0.0782	0.931	103.977	audio_features	197462	4
k-pop	0XATRDCYuuGhk0oE7C0o5G	Mamamoo	k-pop; korean pop	65	581890	1oKLldMLuG7cl7K6IqrbGH	Rainy Season	44	222285	0.677	0.6	2	-4.448	0	0.0543	0.806	0	0.219	0.614	91.058	audio_features	222286	4
k-pop	3qNVuliS40BLgXGxhdBdqu	TAEYEON	k-pop; korean pop	65	555701	1pEavn8UFAeij6afPwWfvM	All with You	54	233939	0.247	0.41	6	-5.725	1	0.0331	0.756	2.93e-6	0.127	0.125	62.91	audio_features	233940	4
k-pop	5r1tUTxVSgvBHnoDuDODPH	IZ*ONE	k-pop	65	41980	1ptM5l7tbT3QCbvYjtBEpV	Suki ni Nacchaudarou? - IZ*ONE Ver.	59	248695	0.684	0.893	6	-3.266	1	0.0576	0.113	0	0.316	0.81	130.963	audio_features	248696	4
k-pop	4XpUIb8uuNlIWVKmgKZXC0	Zico	k-hop; k-pop; korean pop; korean r&b	63	383067	1pz24zu5H9A0S1a2NKT4F0	SoulMate (feat. IU)	65	219390	0.855	0.58	5	-6.951	1	0.141	0.234	0	0.0965	0.518	96.998	audio_features	219391	4
k-pop	1wKpMkucynaTfG8lyPprYV	PENTAGON	k-pop	66	350023	1qLgJ1M37Mj50hlOnuw9cs	Naughty boy	66	198672	0.697	0.682	3	-3.077	1	0.0612	0.143	0	0.146	0.679	160.015	audio_features	198672	4
k-pop	48eO052eSDcn8aTxiv6QaG	NCT	k-pop	66	553265	1qq7YnBOcXtfX3tCCMJllG	Black on Black	61	197980	0.523	0.864	10	-4.746	0	0.359	0.106	4.54e-4	0.0672	0.247	142.11	audio_features	197981	4
k-pop	5dCvSnVduaFleCnyy98JMo	HEIZE	k-indie; k-pop; korean pop; korean r&b	60	174028	1qz2bFE5ZtwZSd6DNed2RJ	Shut Up & Groove (feat. DEAN) [From And July]	52	199281	0.655	0.665	7	-4.785	1	0.0358	0.0873	0	0.122	0.535	112.831	audio_features	199281	4
k-pop	1xs6WFotNQSXweo0GXrS0O	EXID	k-pop	61	635606	1RHpIU25l0TTztLQ0aRKOT	How Why	46	231716	0.717	0.716	7	-5.397	1	0.05	0.107	0	0.733	0.39	100.001	audio_features	231717	4
k-pop	7nqOGRxlXj7N2JYbgNEjYH	SEVENTEEN	k-pop	71	1847055	1Rrj7KyS2R6SP9CQMDJW1w	VERY NICE	64	192092	0.746	0.898	3	-2.818	0	0.0725	0.0526	0	0.0858	0.879	121.967	audio_features	192093	4
k-pop	2CvaqAMMsX576VBehaJ0Wx	Wanna One	k-pop	64	905140	1rsvpq2FuGdEih29HcHla5	Always (Acoustic Ver.)	50	257948	0.473	0.385	6	-5.887	1	0.0287	0.753	0	0.127	0.523	147.83	audio_features	257948	4
k-pop	7n2Ycct7Beij7Dj7meI4X0	TWICE	k-pop	78	2099516	1S6zXoXhfalX2ETKo337Md	YES or YES	76	237685	0.702	0.913	11	-2.977	1	0.0374	0.0514	3.71e-6	0.166	0.735	137.982	audio_features	237685	4
k-pop	3HqSLMAZ3g3d5poNaI7GOU	IU	k-pop; korean pop	71	633819	1SwZVVH9BnXtLRLi2cbFhw	Good day	59	233613	0.643	0.878	9	-2.998	1	0.0673	0.163	0	0.105	0.583	128.035	audio_features	233613	4
k-pop	3paGCCtX1Xr4Gx53mSeZuQ	NCT U	k-pop	64	771747	1T6IInAAec7tVQj3lMxxa3	텐데...Timeless (Sung by JAEHYUN, DOYOUNG, TAEIL) - Instrumental	28	250827	0.606	0.378	1	-8.618	1	0.034	0.0311	0.872	0.101	0.137	127.991	audio_features	250828	4
k-pop	13rF01aOogvnkuQXOlgTW8	TAEMIN	k-pop; korean pop	63	492825	1T7NW3LwpJZw381bfiPPBz	Press Your Number	55	226257	0.656	0.78	10	-3.609	0	0.058	0.186	0	0.209	0.613	120.021	audio_features	226258	4
